text,target
"risk analyst","Finance & Economics"
"monitoring and evaluation me assistant","Healthcare & Life Sciences"
"industrial development specialist","Business & Management"
"internal audit officer","Finance & Economics"
"credit underwriter","Finance & Economics"
"it projects lead","Technology & Engineering"
"chief executive officer","Business & Management"
"principal environmental health officer","Healthcare & Life Sciences"
"senior medical officer","Healthcare & Life Sciences"
"sanitation officer","Healthcare & Life Sciences"
"business training officer","Education & Research"
"business information and advisory services officer","Business & Management"
"assistant accountant 2 positions","Finance & Economics"
"driver","Logistics & Operations"
"production assistant non-established","Creative & Communication"
"office assistant","Business & Management"
"communications and advocacy officer","Creative & Communication"
"chef","Logistics & Operations"
"tours consultant","Logistics & Operations"
"drivermessenger","Logistics & Operations"
"head of operations","Business & Management"
"human resource supervisor","Business & Management"
"salesman","Business & Management"
"chief operating officer","Business & Management"
"waitress intern","Logistics & Operations"
"chef","Logistics & Operations"
"associate lecturers","Education & Research"
"britam edge graduate trainee program","Finance & Economics"
"sales and operations director","Business & Management"
"head teacher","Education & Research"
"enumerators","Social Sciences & Humanities"
"driver","Logistics & Operations"
"producerspresenters radio two fm 3 positions","Creative & Communication"
"chief producer light entertainment and drama development broadcasting unit","Creative & Communication"
"monitoring evaluation accountability and learning meal manager -gcf project","Healthcare & Life Sciences"
"gender equity and social inclusion specialist gesi-gcf project","Social Sciences & Humanities"
"programme coordinator -teacher professional development","Education & Research"
"draftsmandraughtsman","Technology & Engineering"
"community development facilitator x10","Healthcare & Life Sciences"
"gender and protection officer","Social Sciences & Humanities"
"quality assurance officer","Technology & Engineering"
"chief administrative officer","Business & Management"
"chief nursing officer","Healthcare & Life Sciences"
"principal land resource conservation officer","Environmental Sciences"
"principal environmental health officer","Healthcare & Life Sciences"
"projects accountant","Finance & Economics"
"director of agriculture","Environmental Sciences"
"reservations clerk","Logistics & Operations"
"plumber","Technology & Engineering"
"accounting technician","Finance & Economics"
"territory sales officer","Business & Management"
"social and behaviour change sbc specialist","Healthcare & Life Sciences"
"podcast producer paid intern","Creative & Communication"
"student success coordinator","Education & Research"
"research assistant","Education & Research"
"communication and civic education officer","Creative & Communication"
"sales administrator","Business & Management"
"multiple positions nocma national oil company of malawi nocma","Business & Management"
"lead geomarketing research analytics airtel malawi","Business & Management"
"head national sales airtel malawi","Business & Management"
"manager regional sales airtel malawi","Business & Management"
"manager regional sales airtel malawi","Business & Management"
"lead hbb marketing airtel malawi","Business & Management"
"lead hbb experience airtel malawi","Business & Management"
"lead hbb installation and maintenance airtel malawi","Technology & Engineering"
"expert in nature-based tourism and conservation southern and eastern africa tds-group","Environmental Sciences"
"clinical officer malawi liverpool wellcome trust","Healthcare & Life Sciences"
"research nurse malawi liverpool wellcome trust","Healthcare & Life Sciences"
"research clinical officer malawi liverpool wellcome trust","Healthcare & Life Sciences"
"executive administrative assistant puma energy","Business & Management"
"data officer intern old mutual","Technology & Engineering"
"school library manager phoenix international primary school","Education & Research"
"school administrator phoenix international primary school","Education & Research"
"pharmacist bethesida community pharmacy","Healthcare & Life Sciences"
"waiters waitresses kitchen support staff private","Logistics & Operations"
"warehouse operations supervisor one acre fund","Logistics & Operations"
"warehouse operations senior supervisor one acre fund","Logistics & Operations"
"malawi logistics data supervisor one acre fund","Logistics & Operations"
"malawi inventory data senior coordinator one acre fund","Logistics & Operations"
"project manager ministry of energy","Business & Management"
"vehicle asset finance vaf and mortgage manager nbs bank plc","Finance & Economics"
"product analyst nbs bank plc","Finance & Economics"
"teachers joyce banda foundation school","Education & Research"
"temporary office assistant national oil company of malawi nocma","Business & Management"
"temporary depot operator national oil company of malawi nocma","Logistics & Operations"
"assistant security officer national oil company of malawi nocma","Legal & Security"
"temporary depot supervisor national oil company of malawi nocma","Logistics & Operations"
"temporary sap systems accountant national oil company of malawi nocma","Finance & Economics"
"quality assurance officer holy family college of heath sciences","Healthcare & Life Sciences"
"gender officer undp","Social Sciences & Humanities"
"learning culture intern heifer international","Business & Management"
"hr and talent acquisition intern heifer international","Business & Management"
"people and culture officer cure international","Business & Management"
"invoice validation repair order processing associate tiderise technologies inc","Finance & Economics"
"events planner internship lilongwe wildlife trust","Logistics & Operations"
"senior officer agriculture gift of the givers foundation","Environmental Sciences"
"quality control supervisor rab processors ltd","Business & Management"
"regional marketing and communications officer africa water for people","Business & Management"
"finance manager planet green africa","Finance & Economics"
"beef production manager demeter farm","Environmental Sciences"
"workshop manager demeter farm","Technology & Engineering"
"dam expert malawi watershed services improvement project mwasip","Technology & Engineering"
"hydrological expert malawi watershed services improvement project mwasip","Technology & Engineering"
"geotechinical expert malawi watershed services improvement project mwasip","Technology & Engineering"
"laboratory assistant kapaza christian private secondary school","Education & Research"
"field operations manager mount mulanje conservation trust","Environmental Sciences"
"cyber security analyst centenary bank","Technology & Engineering"
"university vice president exploits university","Education & Research"
"behavioural change communication intervention officer banja la mtsogolo","Healthcare & Life Sciences"
"safety and compliance officer mega signs and media limited","Legal & Security"
"gis operations support technician tiderise technologies inc","Technology & Engineering"
"early childhood educatorteacher and teacher assistant st jay international christian academy","Education & Research"
"site supervisor intercity building contractors","Technology & Engineering"
"administrative assistant intern gogo malawi","Business & Management"
"customer care representative intern gogo malawi","Logistics & Operations"
"head of merl southern africa plan international","Social Sciences & Humanities"
"head of business development southern africa plan international","Business & Management"
"head of internal control southern africa plan international","Finance & Economics"
"head of it southern africa plan international","Technology & Engineering"
"sales representatives mudi sacco ltd","Business & Management"
"driver nyasa tobacco buying limited","Logistics & Operations"
"principal labour officer karonga district council","Social Sciences & Humanities"
"chief irrigation engineer karonga district council","Technology & Engineering"
"chief social welfare and child officer karonga district council","Social Sciences & Humanities"
"chief nutrition hiv aids officer karonga district council","Healthcare & Life Sciences"
"assistant administrative officer karonga district council","Business & Management"
"clinical officer orthopaedics karonga district council","Healthcare & Life Sciences"
"clinical officer surgery karonga district council","Healthcare & Life Sciences"
"clinical officer obstetrics gynaecology karonga district council","Healthcare & Life Sciences"
"programs manager malawi scotland partnership masp","Social Sciences & Humanities"
"head of performance management and impact african institute for development policy afidep","Finance & Economics"
"director of human capital development programmes african institute for development policy afidep","Business & Management"
"director of sustainable growth governance african institute for development policy afidep","Social Sciences & Humanities"
"hygiene supervisor mothers holdings ltd","Healthcare & Life Sciences"
"human resources officers x2 mothers holdings ltd","Business & Management"
"biosampling officer multiple positions meiru","Healthcare & Life Sciences"
"field officer multiple positions meiru","Healthcare & Life Sciences"
"quality analyst presscane limited","Technology & Engineering"
"finance and administration manager ufulu gardens","Business & Management"
