text,target
multiple positions nocma national oil company of malawi nocma,Administration
lead geomarketing research analytics airtel malawi,Sales & Marketing
head national sales airtel malawi,Sales & Marketing
manager regional sales airtel malawi,Sales & Marketing
manager regional sales airtel malawi,Sales & Marketing
lead hbb marketing airtel malawi,Sales & Marketing
lead hbb experience airtel malawi,Sales & Marketing
lead hbb installation and maintenance airtel malawi,Information Technology
expert in nature-based tourism and conservation southern and eastern africa tds-group,Conservation
clinical officer malawi liverpool wellcome trust,Clinical Care
research nurse malawi liverpool wellcome trust,Clinical Care
research clinical officer malawi liverpool wellcome trust,Clinical Care
executive administrative assistant puma energy,Administration
data officer intern old mutual,Data Science
school library manager phoenix international primary school,Library Sciences
school administrator phoenix international primary school,Academic Instruction
pharmacist bethesida community pharmacy,Clinical Care
waiters waitresses kitchen support staff private,Hospitality
warehouse operations supervisor one acre fund,Transportation
warehouse operations senior supervisor one acre fund,Transportation
malawi logistics data supervisor one acre fund,Transportation
malawi inventory data senior coordinator one acre fund,Transportation
project manager ministry of energy,Project Management
vehicle asset finance vaf and mortgage manager nbs bank plc,Banking
product analyst nbs bank plc,Banking
teachers joyce banda foundation school,Academic Instruction
temporary office assistant national oil company of malawi nocma,Administration
temporary depot operator national oil company of malawi nocma,Transportation
assistant security officer national oil company of malawi nocma,Corporate Security
temporary depot supervisor national oil company of malawi nocma,Transportation
temporary sap systems accountant national oil company of malawi nocma,Accountancy
quality assurance officer holy family college of heath sciences,Public Health
gender officer undp,Gender Studies
learning culture intern heifer international,Human Resources
hr and talent acquisition intern heifer international,Human Resources
people and culture officer cure international,Human Resources
invoice validation repair order processing associate tiderise technologies inc,Accountancy
events planner internship lilongwe wildlife trust,Hospitality
senior officer agriculture gift of the givers foundation,Agriculture & Forestry
quality control supervisor rab processors ltd,Project Management
regional marketing and communications officer africa water for people,Sales & Marketing
finance manager planet green africa,Accountancy
beef production manager demeter farm,Agriculture & Forestry
workshop manager demeter farm,Construction & Engineering
dam expert malawi watershed services improvement project mwasip,Construction & Engineering
hydrological expert malawi watershed services improvement project mwasip,Construction & Engineering
geotechinical expert malawi watershed services improvement project mwasip,Construction & Engineering
laboratory assistant kapaza christian private secondary school,Academic Instruction
field operations manager mount mulanje conservation trust,Conservation
cyber security analyst centenary bank,Cybersecurity
university vice president exploits university,Academic Instruction
behavioural change communication intervention officer banja la mtsogolo,Public Health
safety and compliance officer mega signs and media limited,Corporate Security
gis operations support technician tiderise technologies inc,Information Technology
early childhood educatorteacher and teacher assistant st jay international christian academy,Academic Instruction
site supervisor intercity building contractors,Construction & Engineering
administrative assistant intern gogo malawi,Administration
customer care representative intern gogo malawi,Retail
head of merl southern africa plan international,International Relations
head of business development southern africa plan international,Consultancy
head of internal control southern africa plan international,Accountancy
head of it southern africa plan international,Information Technology
sales representatives mudi sacco ltd,Sales & Marketing
driver nyasa tobacco buying limited,Transportation
principal labour officer karonga district council,Political Science
chief irrigation engineer karonga district council,Construction & Engineering
chief social welfare and child officer karonga district council,Political Science
chief nutrition hiv aids officer karonga district council,Public Health
assistant administrative officer karonga district council,Administration
clinical officer orthopaedics karonga district council,Clinical Care
clinical officer surgery karonga district council,Clinical Care
clinical officer obstetrics gynaecology karonga district council,Clinical Care
programs manager malawi scotland partnership masp,International Relations
head of performance management and impact african institute for development policy afidep,Economics
director of human capital development programmes african institute for development policy afidep,Human Resources
director of sustainable growth governance african institute for development policy afidep,Political Science
hygiene supervisor mothers holdings ltd,Public Health
human resources officers x2 mothers holdings ltd,Human Resources
biosampling officer multiple positions meiru,Clinical Care
field officer multiple positions meiru,Public Health
quality analyst presscane limited,Construction & Engineering
finance and administration manager ufulu gardens,Administration
procurement officer malawi energy regulatory authority mera,Project Management
chief operations officer lifeco life insurance company,Insurance
finance officer pyxus agriculture limited,Accountancy
project officer green livelihoods gl,Project Management
research assistants kamuzu university of health sciences,Academic Instruction
site supervisor kamuzu university of health sciences,Construction & Engineering
research nurse 3 positions kamuzu university of health sciences,Clinical Care
research nurse intern 2 positions kamuzu university of health sciences,Clinical Care
booster study mac-cdac -various positions kamuzu university of health sciences,Public Health
senior maintenance manager malawi fertilizer company,Construction & Engineering
stores manager malawi fertilizer company,Transportation
security guard x2 gardener x2 mbwabwa holdings,Public Safety
human resource officer youth initiative for community development-malawi,Human Resources
resource mobilisation officer youth initiative for community development-malawi,Sales & Marketing
accounts assistant youth initiative for community development,Accountancy
it applications administrator enterprise services telekom networks malawi plc,Information Technology
account relationship manager telekom networks malawi plc,Banking
field officers x3 hunger project malawi,Public Health
epicenter project officers x2 hunger project malawi,Project Management
project accountant hunger project malawi,Accountancy
senior grants officer hunger project malawi,Grants & Fundraising
grants partnerships and advocacy coordinator hunger project malawi,Advocacy
legal practitioner kalekeni kaphale lawyers,Legal Services
multiple positions hunger project malawi hunger project malawi,Multiple Roles
business enterprise services director amg global,Consulting
aircraft maintenance technicians malawi airlines limited,Aviation
